os	pro_main	pro_occ	use	interested	total
Windows	22.507122507122507	9.971509971509972	27.92022792022792	7.4074074074074066	67.80626780626781
Mac	18.51851851851852	9.116809116809117	11.11111111111111	3.7037037037037033	42.45014245014245
Linux/BSD	17.37891737891738	8.831908831908832	20.22792022792023	7.6923076923076925	54.131054131054135
Mobile OSes	19.65811965811966	9.401709401709402	22.507122507122507	8.262108262108262	59.82905982905983
