os_mobile	pro_main	pro_occ	use	interested	total
"I do not use mobile for Haxe
development."	13.96011396011396	6.267806267806268	16.80911680911681	3.133903133903134	40.17094017094017
Android	18.803418803418804	9.401709401709402	21.937321937321936	7.122507122507122	57.26495726495726
iOS	15.669515669515668	7.122507122507122	12.82051282051282	5.982905982905983	41.5954415954416
Windows	7.122507122507122	2.2792022792022792	4.273504273504273	2.2792022792022792	15.954415954415953
Firefox OS	1.7094017094017095	0.2849002849002849	2.2792022792022792	0.2849002849002849	4.5584045584045585
Tizen	0.8547008547008548	0.2849002849002849	0.2849002849002849	0.0	1.4245014245014245
Blackberry OS7	0.0	0.2849002849002849	0.2849002849002849	0.0	0.5698005698005698
Others	0.2849002849002849	0.0	0.0	0.5698005698005698	0.8547008547008548
