os_win	pro_main	pro_occ	use	interested	total
"I do not use Windows for Haxe
development."	11.11111111111111	5.698005698005698	11.396011396011396	3.9886039886039883	32.193732193732195
Windows 10	11.965811965811966	4.843304843304843	12.82051282051282	4.273504273504273	33.903133903133906
Windows 8 / 8.1	7.6923076923076925	4.273504273504273	9.971509971509972	1.4245014245014245	23.36182336182336
Windows 7	10.826210826210826	5.982905982905983	12.82051282051282	3.418803418803419	33.04843304843305
Windows XP	0.8547008547008548	0.0	0.5698005698005698	0.0	1.4245014245014245
Others	0.0	0.5698005698005698	0.2849002849002849	0.0	0.8547008547008548
