os_mac	pro_main	pro_occ	use	interested	total
I do not use Mac for Haxe development.	15.0997150997151	6.552706552706552	28.205128205128204	7.6923076923076925	57.54985754985755
"OSX 10.11: ""El Capitan"""	10.826210826210826	4.843304843304843	6.267806267806268	2.2792022792022792	24.216524216524217
"OSX 10.10: ""Yosemite"""	13.390313390313391	6.837606837606838	8.547008547008547	1.1396011396011396	29.914529914529915
"OSX 10.9: ""Mavericks"""	0.8547008547008548	1.4245014245014245	0.5698005698005698	0.8547008547008548	3.7037037037037033
"OSX 10.8: ""Mountain Lion"""	1.4245014245014245	0.2849002849002849	0.5698005698005698	0.2849002849002849	2.564102564102564
Others	0.5698005698005698	0.0	0.0	0.0	0.5698005698005698
